Category,Phone Number,Address,Website,Description,Notes
Adult or Senior Services,,,,,
Area Agency on Aging,937-341-3000,"40 W. Second Street
Suite 400
Dayton, OH 45402",https://info4seniors.org/,,
Bridges Community Action Partnership,National Toll Free Number: (800)-858-4452; Champaign County Number: 937-772-9164,"40 Monument Square, Suite 204,
Urbana, OH 43078",https://www.bridgescap.org/champaign-co,,
Champaign County Department of Job & Family Services (Adult Protective Services),(937 )484-1500,"1512 S. US Highway 68
Suite N100
Urbana, OH 43078",https://www.champaigndjfs.org/adult-protective-services.html,,
Champaign County Health Department (Nursing),(937) 484-1605,"1512 S. U.S. Highway 68 Suite Q-100, Urbana, OH 43078",https://www.champaignhd.com/nursing-homepage,,
Urbana Senior Center,(937) 653-6088,"150 Patrick Avenue
Urbana, OH 43078",https://www.uccseniorcenter.com/,,
Child Abuse & Neglect Services,,,,,
Champaign County Department of Job & Family Services (Child Protective Services),(937) 484-1500,"1512 S. US Highway 68
Suite N100
Urbana, OH 43078",https://www.champaigndjfs.org/child-protective-services.html,,
Child Support Services,,,,,
Champaign County Department of Job & Family Services (Child Support),(937) 484-1500,"1512 S. US Highway 68
Suite N100
Urbana, OH 43078",https://www.champaigndjfs.org/child-support.html,,
Childcare Services,,,,,
4C for Children,(800)-256-1296,"Cincinnati Location: 2100 Sherman Ave., #300
Cincinnati, OH 45212
Miami Valley Location: 2621 Dryden Rd
Suite 107
Dayton, Ohio 45439",https://www.4cforchildren.org/,,
Champaign County Department of Job & Family Services (Child Care Services),(937) 484-1500,"1512 S. US Highway 68
Suite N100
Urbana, OH 43078",https://www.champaigndjfs.org/child-care-assistance.html,,
Head Start- Council on Rural Services,Administrative Office Phone Number: (937) 778-5220; Urbana Phone Number: 937-652-1742,"1471 E. US Highway 36
Urbana, OH 43078",https://kidslearningplace.org/apply/,,
Champaign County YMCA,(937) 653-9622,"191 Community Drive
Urbana, Ohio 43078",https://champaignfamilyymca.org/,,
Community Education Services,,,,,
American Red Cross- Miami Valley,(937) 222-6711,"370 West 1st Street
Dayton, OH 45402",https://www.redcross.org/local/ohio/central-and-southern-ohio/about-us/locations/miami-valley-chapter.html,,
Cancer Association of Champaign County,(937) 653-3899,"PO Box 38125
Urbana, OH   43078",https://www.cancerassociationofchampaigncounty.org/,,
Clark Champaign County Diabetes Association,(937) 342-4771,"30 W McCreight Ave, Springfield, OH 45504",https://ccchd.com/nursing-health-education/diabetes/,,
Champaign County Library,(937) 653-3811,"1060 Scioto Street
Urbana, OH 43078-2228",https://www.champaigncountylibrary.org/,,
Champaign County Family & Children First,(937) 653-4490,"1512 S US HWY 68, Suite N100
​Urbana, OH 43078 ",https://www.champcofcfc.com/,,
Champaign County Health District,(937) 484-1605,"1512 S. U.S. 68 
Suite Q-100
Urbana, OH 43078",https://www.champaignhd.com/,,
       Emergency Preparedness,(937) 484-2526,"1512 S. U.S. 68 
Suite Q-100
Urbana, OH 43078",https://www.champaignhd.com/be-prepared,,
       Epidemiologist,(937) 653-5764,"1512 S. U.S. 68 
Suite Q-100
Urbana, OH 43078",,,Couldn’t find this resource
Ohio State University Extension -  Champaign County ,937-484-1526,"1512 S US Highway 68, Suite B100
Urbana, Ohio 43078",https://champaign.osu.edu/,,
Community Planning & Develop.,,,,,
Champaign County Chamber of Commerce,(937) 653-5764,"127 W. Court Street, Urbana, OH 43078",https://www.champaignohio.com/,,
Champaign County Family & Children First,(937) 653-4490,"1512 S US HWY 68, Suite N100
​Urbana, OH 43078 ",https://www.champcofcfc.com/,,
"Courts, Probation, Parole Serv.",,,,,
Champaign County Common Pleas Court,(937) 484-1000,"200 North Main Street, 2nd Floor
Urbana, OH 43078",http://champaigncourt.org/,,
Champaign County Family Court,(937) 484-1027,"200 North Main Street
3rd Floor
Urbana, OH 43078",https://www.ccfamct.us/,,
Champaign County Family Court - Juvenile Court,(937) 484-1027,"200 North Main Street
3rd Floor
Urbana, OH 43078",https://www.ccfamct.us/court-services/juvenile-court,,
Champaign County Municipal Court,(937) 653-7376,"205 S. Main Street. P.O. Box 67
Urbana, Ohio",https://www.champaigncountymunicipalcourt.com/,,
Champaign County Probate Court,937-484-1028,"200 N Main St # 100, Urbana, OH 43078",https://www.ccfamct.us/court-services/probate-court,,
Circleville Juvenile Correctional,(740) 477-2500,"640 Island Rd, Circleville, OH 43113",https://dys.ohio.gov/facilities/circleville-jcf,,
Crisis Services,,,,,
American Red Cross,(800) 733-2767,N/A,https://www.redcross.org/,,
Champaign County Department of Job & Family Services ,(937) 484-1500,"1512 S. US Highway 68
Suite N100
Urbana, OH 43078",https://www.champaigndjfs.org/,,
National Suicide and Crisis Lifeline,988,N/A,https://988lifeline.org/,,
Champaign County Emergency Management Agency -Crisis Response Team,(937) 484-1642,"1512 S. US Rte 68, Suite C103
Urbana, OH 43078",https://www.champaignema.org/,,
Disabled Person Services,,,,,
Champaign County Board of Developmental Disabilities,(937) 653-5217,"224 Patrick Ave, Urbana, OH 43078",https://www.champaigncbdd.org/,,
Downsize Farm Support Services,(937) 834-4277,"806 Parkview Rd N, Woodstock, OH 43084",https://www.downsizefarm.com/,,
Downsize Farm Jobs,(937) 834-4277,"927 North Main St.
Urbana, Ohio 43078",https://www.downsizefarm.com/voc-hab.html,,
Goodwill Easter Seals,(937) 461-4800,"660 S. Main Street
Dayton, OH 45402",https://gesmv.org/,,
Opportunities for Ohioans with Disabilities,(800) 282-4536,"150 E Campus View Blvd Suite 300, Columbus, OH 43235",https://ood.ohio.gov/home,,
Domestic Violence Services,,,,,
Project Woman,(937) 328-5308,"525 East Home Rd.
Springfield, Ohio 45503",https://www.projectwomanohio.org/,,
Early Childhood Services,,,,,
4C for Children,(937) 220-9660,"Cincinnati Location: 2100 Sherman Ave., #300
Cincinnati, OH 45212
Miami Valley Location: 2621 Dryden Rd
Suite 107
Dayton, Ohio 45439",https://www.4cforchildren.org/,,
Champaign County Department of Job & Family Services (Child Care Services),(937) 484-1500,"1512 S. US Highway 68
Suite N100
Urbana, OH 43078",https://www.champaigndjfs.org/child-care-assistance.html ,,
Head Start- Council on Rural Services,Adminstrative Office Phone Number: (937) 778-5220; Urbana Phone Number: 937-652-1742,"1471 E. US Highway 36
Urbana, OH 43078",https://kidslearningplace.org/apply/,,
Early Intervention,(937) 653-8904,,,,Couldn’t find additional information for this
Champaign County YMCA,(937) 653-9622,"191 Community Drive
Urbana, Ohio 43078",https://champaignfamilyymca.org/,,
Complex Medical Help (formerly known as Bureau for Children with Medical Handicaps),(937) 484-1667,"Ohio Department of Health
CMH - Complex Medical Help Program
246 North High Street
P.O. Box 1603
Columbus, OH 43216-1603",https://odh.ohio.gov/know-our-programs/complex-medical-help/,,
Champaign County WIC,(937) 484-1668,1512 South US Highway 68 Suite Q100 Urbana 43078,https://odh.ohio.gov/know-our-programs/women-infants-children/wic-clinics/clinic-1100,,"Who is eligible:
Pregnant persons at any time during gestation

Postpartum persons who birthed/fostering/adopted a baby(s) -up to baby’s 6 months. 

A person providing breastmilk-up to baby’s one year.

Infants from birth through 12 months (foster, adoptive, kinship, etc.)

Children aged 1 to 5 years (foster, adoptive, kinship, etc.)
Link to Ohio Wic Guidelines: https://odh.ohio.gov/know-our-programs/Women-Infants-Children/resources/ohio-wic-program-eligibility"
Educational/Literacy Services,,,,,
Adult Basic Literacy,(937) 484-1667,,https://community-health-foundation.org/health-resource-guide-for-clark-champaign-counties/7234/warder-literacy-centerclark-county-literacy-coalition/,,Couldn’t find more information 
Emergency Services,,,,,
Champaign County Department of Job & Family Services (Child Abuse Hotline),(937) 484-1500,"1512 S. US Highway 68
Suite N100
Urbana, OH 43078",https://www.champaigndjfs.org/child-protective-services.html,,
Champaign County Emergency Management Agency -Crisis Response,(937) 484-1642,"1512 S. US Rte 68, Suite C103
Urbana, OH 43078",https://www.champaignema.org/,,
Champaign County Health Department,(937) 484-1605,"1512 S. U.S. 68 
Suite Q-100
Urbana, OH 43078",https://www.champaignhd.com/,,
Poison Control Hotline,(800) 222-1222,N/A,https://www.poison.org/,,
Mercy Emergency Department,(937) 653-5231,"904 Scioto St.
Urbana, Ohio 43078",https://www.mercy.com/locations/emergency-room/Springfield/mercy-health-Urbana-hospital-emergency-room,,
Employment and Training Services,,,,,
Aspire,(937) 778-1980,"8811 Career Drive
Piqua, OH 45356",https://www.uppervalleycc.org/o/adult-division,,
"Ohio Means Jobs, Champaign County",(937) 484-1581,"1512 South U.S. Hwy. 68, Suite J-100, Urbana, OH 43078",https://ohiomeansjobs.ohio.gov/home,,
Ohio HI-Point Career Center,(937) 599-3010,"2280 State Route 540
Bellefontaine, OH 43311",https://www.ohiohipoint.com/,,
